Table Name,State Code,District Code,Area Name,Division,Sub Division,NCO Name,Total/Rural/Urban,Industrial Category - Total - Persons,Industrial Category - Total - Males,Industrial Category - Total - Females,"Industrial Category - A (Excluding Cultivators, Agricultural Labourers) - Persons","Industrial Category - A (Excluding Cultivators, Agricultural Labourers) - Males","Industrial Category - A (Excluding Cultivators, Agricultural Labourers) - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
B0123A,29,560,District - Koppal,8,00,Plant and Machine Operators and Assemblers,Urban,5478,5046,432,48,32,16,26,26,0,22,12,10,1214,876,338,68,68,0,114,114,0,0,0,0,212,200,12,3442,3398,44,20,20,0,0,0,0,12,12,0,6,6,0,120,116,4,40,38,2,0,0,0,134,128,6
B0123A,29,560,District - Koppal,8,81,Stationary Plant and Related Operators,Total,2922,2368,554,40,30,10,138,114,24,80,54,26,1858,1396,462,228,228,0,114,94,20,0,0,0,140,130,10,146,146,0,2,2,0,0,0,0,0,0,0,0,0,0,154,152,2,0,0,0,0,0,0,22,22,0
B0123A,29,560,District - Koppal,8,81,Stationary Plant and Related Operators,Rural,2494,1998,496,26,18,8,118,94,24,80,54,26,1624,1212,412,200,200,0,102,82,20,0,0,0,90,84,6,114,114,0,2,2,0,0,0,0,0,0,0,0,0,0,122,122,0,0,0,0,0,0,0,16,16,0
B0123A,29,560,District - Koppal,8,81,Stationary Plant and Related Operators,Urban,428,370,58,14,12,2,20,20,0,0,0,0,234,184,50,28,28,0,12,12,0,0,0,0,50,46,4,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,32,30,2,0,0,0,0,0,0,6,6,0
B0123A,29,560,District - Koppal,8,82,Machine Operators and Assemblers,Total,3268,2474,794,62,44,18,10,10,0,90,58,32,2366,1688,678,28,20,8,102,96,6,0,0,0,226,218,8,12,12,0,74,40,34,0,0,0,18,18,0,0,0,0,14,12,2,6,6,0,0,0,0,260,252,8
B0123A,29,560,District - Koppal,8,82,Machine Operators and Assemblers,Rural,1896,1430,466,42,38,4,4,4,0,68,46,22,1412,1022,390,20,12,8,48,42,6,0,0,0,104,104,0,6,6,0,54,20,34,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,132,130,2
B0123A,29,560,District - Koppal,8,82,Machine Operators and Assemblers,Urban,1372,1044,328,20,6,14,6,6,0,22,12,10,954,666,288,8,8,0,54,54,0,0,0,0,122,114,8,6,6,0,20,20,0,0,0,0,12,12,0,0,0,0,14,12,2,6,6,0,0,0,0,128,122,6
B0123A,29,560,District - Koppal,8,83,Drivers and Mobile-Plant Operators,Total,12110,11986,124,160,160,0,74,74,0,0,0,0,284,282,2,50,50,0,462,450,12,0,0,0,118,104,14,10752,10670,82,2,2,0,0,0,0,4,4,0,6,6,0,118,106,12,68,66,2,0,0,0,12,12,0
B0123A,29,560,District - Koppal,8,83,Drivers and Mobile-Plant Operators,Rural,8432,8354,78,146,146,0,74,74,0,0,0,0,258,256,2,18,18,0,414,402,12,0,0,0,78,64,14,7348,7310,38,2,2,0,0,0,0,4,4,0,0,0,0,44,32,12,34,34,0,0,0,0,12,12,0
B0123A,29,560,District - Koppal,8,83,Drivers and Mobile-Plant Operators,Urban,3678,3632,46,14,14,0,0,0,0,0,0,0,26,26,0,32,32,0,48,48,0,0,0,0,40,40,0,3404,3360,44,0,0,0,0,0,0,0,0,0,6,6,0,74,74,0,34,32,2,0,0,0,0,0,0
B0123A,29,560,District - Koppal,9,00,Elementary Occupations,Total,28672,20376,8296,9114,4898,4216,320,276,44,60,54,6,3818,3252,566,156,140,16,7372,6126,1246,0,0,0,1988,1652,336,2022,1900,122,536,428,108,0,0,0,48,46,2,66,58,8,802,592,210,120,64,56,0,0,0,2250,890,1360
B0123A,29,560,District - Koppal,9,00,Elementary Occupations,Rural,17888,12684,5204,6362,3280,3082,286,244,42,48,42,6,2742,2394,348,130,114,16,4416,3662,754,0,0,0,934,780,154,1152,1080,72,242,206,36,0,0,0,16,14,2,24,24,0,362,264,98,32,18,14,0,0,0,1142,562,580
B0123A,29,560,District - Koppal,9,00,Elementary Occupations,Urban,10784,7692,3092,2752,1618,1134,34,32,2,12,12,0,1076,858,218,26,26,0,2956,2464,492,0,0,0,1054,872,182,870,820,50,294,222,72,0,0,0,32,32,0,42,34,8,440,328,112,88,46,42,0,0,0,1108,328,780
B0123A,29,560,District - Koppal,9,91,Sales and Services Elementary Occupations,Total,4670,2714,1956,82,48,34,20,20,0,0,0,0,320,250,70,114,108,6,46,36,10,0,0,0,890,640,250,54,44,10,494,400,94,0,0,0,36,36,0,48,42,6,586,402,184,96,50,46,0,0,0,1884,638,1246
B0123A,29,560,District - Koppal,9,91,Sales and Services Elementary Occupations,Rural,2296,1496,800,62,46,16,14,14,0,0,0,0,244,214,30,90,84,6,20,20,0,0,0,0,448,326,122,32,26,6,238,202,36,0,0,0,14,14,0,14,14,0,238,152,86,30,18,12,0,0,0,852,366,486
B0123A,29,560,District - Koppal,9,91,Sales and Services Elementary Occupations,Urban,2374,1218,1156,20,2,18,6,6,0,0,0,0,76,36,40,24,24,0,26,16,10,0,0,0,442,314,128,22,18,4,256,198,58,0,0,0,22,22,0,34,28,6,348,250,98,66,32,34,0,0,0,1032,272,760
B0123A,29,560,District - Koppal,9,92,"Agricultural, Fishery and Related Labourers",Total,9332,4936,4396,8540,4500,4040,6,6,0,0,0,0,152,126,26,6,6,0,418,190,228,0,0,0,16,8,8,26,26,0,4,2,2,0,0,0,0,0,0,2,0,2,26,20,6,2,0,2,0,0,0,134,52,82
B0123A,29,560,District - Koppal,9,92,"Agricultural, Fishery and Related Labourers",Rural,6512,3280,3232,5984,3018,2966,6,6,0,0,0,0,96,72,24,6,6,0,272,110,162,0,0,0,16,8,8,20,20,0,2,2,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,106,34,72
B0123A,29,560,District - Koppal,9,92,"Agricultural, Fishery and Related Labourers",Urban,2820,1656,1164,2556,1482,1074,0,0,0,0,0,0,56,54,2,0,0,0,146,80,66,0,0,0,0,0,0,6,6,0,2,0,2,0,0,0,0,0,0,2,0,2,22,16,6,2,0,2,0,0,0,28,18,10
